unit_id,unit_no,unit_name,chapter_no,chapter_name
60c9d9b3e7dd6959e8fb1b30,1,chemical-substancesnature-and-behaviour,1,Chemical Reactions and Equations
60c9d9b3e7dd6959e8fb1b30,1,chemical-substancesnature-and-behaviour,2,Acids Bases and Salt
60c9d9b3e7dd6959e8fb1b30,1,chemical-substancesnature-and-behaviour,3,Metals and Non-Metals
60c9d9b3e7dd6959e8fb1b30,1,chemical-substancesnature-and-behaviour,4,Carbon and its Compounds
60c9d9b3e7dd6959e8fb1b30,1,chemical-substancesnature-and-behaviour,5,Periodic Classification of Elements
60c9d9b3e7dd6959e8fb1b31,2,world-of-living,6,Life Process
60c9d9b3e7dd6959e8fb1b31,2,world-of-living,7,Control and Coordination
60c9d9b3e7dd6959e8fb1b31,2,world-of-living,8,How do Organisms Reproduce
60c9d9b3e7dd6959e8fb1b31,2,world-of-living,9,Heredity And Evolution
60c9d9b3e7dd6959e8fb1b32,3,natural-phenomena,10,Light Reflection and Refraction
60c9d9b3e7dd6959e8fb1b32,3,natural-phenomena,11,The Human Eye and Colorful World
60c9d9b3e7dd6959e8fb1b32,3,natural-phenomena,12,Electricity
60c9d9b3e7dd6959e8fb1b33,4,effects-of-current,13,Magnetic Effects of Electric Current
60c9d9b3e7dd6959e8fb1b34,5,natural-resources,14,Sources of Energy
60c9d9b3e7dd6959e8fb1b34,5,natural-resources,15,Our Environment
60c9d9b3e7dd6959e8fb1b34,5,natural-resources,16,Sustainable Management of Natural Resources
