subject_id,subject_name,unit_no,unit_name,marks
60b62b5f4b44826738114acb,science,1,Matter – Its Nature and Behaviour,23
60b62b5f4b44826738114acb,science,2,Organization in the Living World,20
60b62b5f4b44826738114acb,science,3,"Motion, Force and Work",27
60b62b5f4b44826738114acb,science,4,Our Environment,6
60b62b5f4b44826738114acb,science,5,"Food, Food Production",4
60b62b974b44826738114ad0,math,1,Number System,8
60b62b974b44826738114ad0,math,2,Algebra,17
60b62b974b44826738114ad0,math,3,Coordinate Geometry,4
60b62b974b44826738114ad0,math,4,Geometry,28
60b62b974b44826738114ad0,math,5,Mensuration,13
60b62b974b44826738114ad0,math,6,Statistics & Probability,10
60b62b794b44826738114acd,social-science,1,India and the Contemporary World - II,20
60b62b794b44826738114acd,social-science,2,Contemporary India - I,20
60b62b794b44826738114acd,social-science,3,Democratic Politics - I,20
60b62b794b44826738114acd,social-science,4,Economics,20
